,Cloudiness,Humidity,Lat,Lng,Temp,Wind Speed
355,20,100,50.03,-66.88,57.2,8.05
356,40,63,-31.43,152.91,60.8,9.17
357,0,100,52.47,1.45,47.52,3.38
358,0,14,-20.73,139.49,84.2,10.29
359,92,94,-10.12,-36.18,77.48,11.43
360,12,83,-2.68,111.62,85.49,6.73
361,0,98,-3.28,-39.27,79.46,24.85
362,0,85,7.42,81.82,81.26,4.38
363,20,100,-0.92,100.36,82.61,4.05
364,1,50,45.52,-122.67,71.62,6.93
365,20,94,-7.47,-34.81,71.6,5.82
366,44,74,27.88,102.25,66.95,1.81
367,20,70,-1.24,116.86,87.8,9.17
368,40,63,43.24,76.95,53.6,4.47
369,12,100,62.57,11.38,37.4,3.36
370,68,96,-9.29,-76.01,63.89,2.04
371,0,87,41.28,20.71,57.2,4.7
372,76,82,-0.95,122.79,80.36,5.95
373,48,100,-10.62,150.67,78.11,13.22
374,68,98,7.3,8.73,67.76,2.93
375,24,44,-8.93,125.41,84.95,1.7
376,40,94,-9.67,-35.74,69.8,2.24
377,0,77,64.47,12.32,61.79,10.29
378,90,86,69.44,-133.03,33.8,25.28
379,40,94,-19.62,34.74,69.8,7.52
380,56,98,-31.4,-58.02,56.6,9.19
381,100,96,57.07,86.23,53.99,6.85
382,92,99,21.46,-71.14,82.43,20.27
383,80,89,5.24,-5.0,74.69,5.61
384,0,63,0.7,108.9,88.64,6.96
385,12,92,25.38,-101.48,59.39,2.15
386,40,78,13.22,-59.52,80.6,14.99
387,0,100,63.83,20.26,44.6,2.24
388,0,96,-25.18,46.09,62.54,9.75
389,64,100,55.09,80.97,45.44,4.5
390,0,72,46.88,22.13,66.2,5.82
391,100,95,58.33,44.76,57.14,2.93
392,40,60,-5.86,144.23,73.4,6.93
393,0,93,46.42,3.91,48.2,2.71
394,0,88,38.02,12.54,70.0,4.7
395,76,100,11.72,122.09,79.73,19.93
396,40,76,71.03,27.85,55.4,10.29
397,68,82,-8.49,140.4,83.96,13.56
398,75,78,39.03,121.69,80.6,6.71
399,0,81,-16.84,36.99,62.54,3.38
400,12,93,35.3,37.18,65.42,7.74
401,88,98,-7.96,145.78,74.69,2.59
402,92,98,-8.83,13.24,69.29,3.6
403,32,94,3.25,19.78,68.21,2.15
404,75,60,45.41,141.67,71.6,14.99
405,90,89,36.97,-122.03,60.28,3.36
406,0,75,-16.54,28.71,62.36,4.61
407,24,65,28.45,119.91,87.29,2.48
408,80,76,45.09,133.51,67.58,9.31
409,20,47,-23.13,150.74,78.8,10.29
410,0,93,51.33,-0.78,51.03,2.24
411,0,90,-14.92,13.49,51.83,2.15
412,20,88,38.73,-27.07,71.6,15.9
413,76,84,66.56,67.8,44.63,11.43
414,0,60,62.93,152.39,62.27,5.61
415,20,88,42.77,-9.06,64.4,6.93
416,20,100,34.81,32.42,75.97,3.36
417,8,91,41.79,0.81,56.69,2.71
418,20,73,31.8,34.94,77.0,4.7
419,1,87,35.61,-88.82,76.73,5.61
420,40,83,37.14,-8.45,69.8,11.41
421,20,64,-15.72,46.32,71.6,4.7
422,0,89,16.28,-0.04,76.49,6.4
